brands,median
& Other Stories,88117.0
&pizza,107833.0
1-800-Flowers,118750.0
10 Spot/MadRag,49704.0
110 Grill,78178.0
16 Handles,105972.0
24 Hour Fitness,73535.0
2nd Wind Exercise Equipment,114303.0
5 Napkin Burger,95856.0
5.11 Tactical,111328.0
7 For All Mankind,82863.5
7-Eleven,94375.0
76,95179.0
800 Degrees Woodfired Kitchen,87404.0
99 Restaurants,76476.0
9Round,103667.0
A&W Restaurants,73654.0
A.C. Moore,98750.0
A.P.C. Store,76417.0
ACME Sav-on Pharmacy,126467.0
ALDI,65500.0
ALDO,81250.0
AMC Entertainment,102305.0
AMF,95573.0
Aaron's,48942.0
Abbott's Frozen Custard,70938.0
Abercrombie,113375.0
Acme Markets,111250.0
Acorn Markets,56167.0
Adidas,80559.0
Adult Mart,33014.5
Adventure Landing,62141.0
Against All Odds,80625.0
Alamo Drafthouse Cinema,81379.0
Alexander McQueen,101250.0
Allen Edmonds,98512.0
Altitude Trampoline Parks,65250.0
Amazon Books,88393.0
Amazon Go,76717.0
America's Food Basket,46696.0
American Eagle Outfitters,117112.0
American Girl,113375.0
Amorino Gelato,83447.0
Anderson's Frozen Custard,69615.0
Angelika Film Center,99384.0
Ann Taylor,107188.0
Annie Sez,82768.0
Anthony's Coal Fired Pizza,136938.0
Anthropologie,95580.0
Anytime Fitness,72446.0
Applebee's,81125.0
Arby's,63886.0
Aritzia,82485.5
Armani Exchange (A/X),71579.0
Artichoke Pizza,83333.0
Artist & Craftsman Supply,53852.0
Ashley Stewart,59220.0
Aspen Athletic Clubs,72446.0
Associated Supermarkets,52292.0
Athleta,136568.0
Atlantis Fresh Market,79728.0
Atomic Wings,71111.0
Au Bon Pain,83447.0
Audibel,53056.0
Auntie Anne's,67471.0
Aéropostale,95714.0
B.GOOD,85563.0
BCBG,91653.0
BCBGeneration,85625.0
BHLDN,100536.0
BJ's Restaurants,92260.0
BJ's Wholesale Club,83409.0
BJ's Wholesale Club Gas,80031.0
BK Pilates,79191.0
BP,79330.0
Babeland,93447.0
Bad Axe Throwing,67188.0
Bahama Breeze,115000.0
Balduccis,250001.0
Balenciaga,108088.0
Bambu,116333.0
Banana Republic,106302.0
Bandier,127721.0
BareBurger,98906.0
Barnes and Noble,93359.0
Barnes and Noble College,80101.0
Barneys New York,106477.0
Barry's Bootcamp,109399.0
Baskin Robbins,79205.0
Bass Pro Shops,62974.0
Bath & Body Works,80875.0
Beatnic,74792.0
Beef Jerky Outlet,112750.0
Beltone,70216.0
Ben & Jerry's,87902.0
Benefit Cosmetics,77292.0
Benihana,117500.0
Best Fitness,64554.0
Best Market,105972.0
Big Lots Stores,72793.0
Big M Supermarkets,56964.0
Bill Gray's,71595.0
Bimbo Bakeries,67823.0
Blackstone Steakhouse,127955.0
Blaze Pizza,98819.0
Blick Art Materials,79737.0
Blimpie,80357.0
Blink Fitness,64545.0
Bloomingdale's,119750.0
Blue Bottle Coffee,91667.0
Bluestone Lane,96071.0
Bob Evans,58415.5
Bob's Stores,104261.0
Boba Guys,85428.0
Body & Brain Yoga Tai Chi,99760.0
Bolla Market,89796.0
Bonanza & Ponderosa Steakhouse,55000.0
Bonchon,94063.0
Bonefish Grill,87056.0
Book Warehouse,98182.0
Boqueria,96628.0
Boscov's,53432.0
Boston Market,80259.0
Bottega Veneta,127200.0
Bounce Trampoline Sports,120813.0
BounceU,74496.0
Bow Tie Cinemas,124500.0
Bowlero,98103.0
Bowlmor Lanes,103036.0
BoxLunch,91346.0
Bravo Supermarkets,52552.0
Brooklyn Boulders,77321.0
Brooklyn Fare,76442.0
Brooklyn Harvest Markets,53929.0
Brooks Brothers,105972.0
Bruegger's,81250.0
Bubba Gump Shrimp,84292.0
Bubbakoo's Burritos,90313.0
Buca di Beppo,80375.0
Buffalo Exchange,84125.0
Buffalo Wild Wings,86758.0
Build A Bear Workshop,90179.0
Burberry,91985.0
Burger King,70662.0
Burger Village,76083.0
BurgerFi,113854.0
Burgerim,90868.0
Burlington,68469.0
Burn Boot Camp,111071.0
Buy Buy Baby,95956.0
Byrne Dairy,63537.0
C Town Supermarkets,61125.0
C.H. MARTIN,51618.0
CAVA,82500.0
CITGO,72094.0
CKO Kickboxing,80640.0
CVS,94125.0
CVS Pharmacy,91346.0
Cabela's,59352.0
Cafe Metro,96250.0
Calexico,94464.0
California Pizza Kitchen,102812.0
Calvin Klein,106875.0
Calzedonia,92295.0
Camper,72778.0
Camping World,78173.0
Canada Goose,86566.5
Cardsmart,107625.0
Carhartt,82708.0
Carrabba's Italian Grill,87250.0
Carter's,80185.0
Cartier,119531.0
Cartridge World,114152.0
Carvel,99608.0
Catherines,80875.0
Central Rock Gym,77019.0
Century 21 Department Stores,88150.0
Cha Cha Matcha,76531.0
Champion,94583.5
Champs Sports,64702.0
Chanel,141563.0
Charles Tyrwhitt,81299.0
Charley's,79514.0
Charlotte Russe,74882.0
Charlotte Tilbury,93125.0
Checkers Drive-In Restaurants,64034.0
Cheeburger Cheeburger,78636.0
Chick-fil-A,95708.0
Chico's,89671.0
Chico's Off The Rack,93151.5
Chili's Grill & Bar,89609.0
China House,63935.5
China King,99643.0
China Kitchen,50542.0
Chipotle Mexican Grill,84432.0
Choice Pet,125469.0
Chopt Creative Salad,125469.0
Christian Louboutin,99412.0
Christmas Tree Shops,92083.0
Chrome Hearts,87639.0
Chuck E. Cheese's,83080.5
Cinnabon,55242.0
Circle K,66742.0
Circle K Gas,67716.0
Citi Trends,51382.0
Claire's,66369.0
Clarks,89231.0
Cliff's Local Market,62500.0
Clothes Mentor,69602.0
Club Champion,95179.0
Club Monaco,103594.0
Club Pilates,117386.0
CoCo Fresh Tea & Juice,70817.0
Coach,89952.0
Cold Stone Creamery,79250.0
Cole Haan,106917.0
Columbia Sportswear,87138.0
Compare Foods Supermarkets,65809.0
ConocoPhillips,79379.5
CoreLife Eatery,86269.0
CorePower Yoga,85073.0
Cosi,97949.0
Costco,95583.0
Costco Gasoline,91393.0
Country Fair,52583.0
Country Kitchen,85469.0
CountryMax Stores,65521.0
Cracker Barrel,72000.0
Crocs,86051.0
Crosby's,56397.0
CrossFit,83333.0
Crossroads Trading,90408.0
Crown Trophy,88359.0
Crunch,80921.0
Cumberland Farms,76964.0
Cups Frozen Yogurt,61250.0
Curves,94848.5
Cycle Gear,98731.5
CycleBar,114991.0
D'Agostino,92172.0
DAISO,74805.0
DSW (Designer Shoe Warehouse),103487.0
DTR/VILLA,59412.0
Dairy Queen,84305.0
Dallas BBQ,66693.5
Dandy Mini Marts,58750.0
Dash's Market,74861.0
Dave & Buster's,94915.0
David's Bridal,86484.0
DeCicco and Sons,144375.0
Del Frisco's Grille,111908.0
DelFrisco's Double Eagle Steakhouse,96452.0
Denny's,64784.0
Destination Maternity,87621.0
Destination XL,86852.0
DiBella's Subs,69583.0
Dick's Sporting Goods,88155.0
Dickey's Barbecue Pit,74091.0
Dig Inn,126375.0
Dior,99583.0
Disney Store,86172.0
Doc Popcorn,90457.0
Dog Haus,103636.0
Dolce & Gabbana,105583.0
Dollar General,57955.0
Dollar Tree,73125.0
Domino's Pizza,68472.0
Donut Connection,51420.0
Dooney and Bourke,100156.0
Dos Toros Taqueria,88750.0
Dover Saddlery,90469.0
Dressbarn,96481.0
Duane Reade by Walgreens,78241.0
Dunkin',75972.0
Duty Free Americas,68804.0
Dylan's Candy Bar,98373.0
ESCADA,133542.0
EagleRider,86474.0
Earl of Sandwich,81418.0
Eastern Mountain Sports,82772.0
Eataly,101023.0
Eblens,76237.5
Eddie Bauer,93654.0
Edible Arrangements,82795.5
Eileen Fisher,125469.0
Einstein Brothers,83750.0
Elevation Burger,126579.0
Elixir Juice Bar,99758.0
Emack & Bolio's Ice Cream,96881.5
Empire Eatery,61447.0
Epicierie Boulud,88000.0
Equinox Fitness Clubs,108606.0
Ermenegildo Zenga,97917.0
Everlane,80949.0
Everything but Water,108122.0
Exhale,90725.0
Express,79276.0
Express Factory Outlet,108828.0
Exxon Mobil,90167.0
F45 Training,107120.0
Fairway Market,93750.0
Family Dollar Stores,54868.0
Family Video,51875.0
Famous Dave's,109352.0
Famous Footwear,93438.0
Fastrac,58750.0
Feel Rite Fresh Market,68194.0
Fendi,104766.0
Ferragamo,117301.0
Field & Stream,113583.0
Fig and Olive,102917.0
Fine Fare Supermarkets,52199.0
Firehouse Subs,69659.0
Fitness 19,88906.0
Fitness Factory Health Club,47353.0
Five Below,80729.0
Five Guys,80473.0
Fjall Raven,94914.0
Fleet Feet Sports,76435.0
Flight Trampoline Park,114000.0
Flywheel,105492.0
Fogo de Chão,110078.0
Food Bazaar Supermarket,58917.0
Food Dynasty,49964.0
Food Fair,42654.0
Food Universe Marketplace,63664.0
Foodtown,70868.0
Foot Locker,62111.0
Footaction,55313.0
Forever 21,94213.0
Forman Mills,38535.0
Fossil,89693.0
Four Brothers Pizza Inn,80972.0
Fox's Pizza Den,50179.0
Francos Pizza,61121.5
Frank Pepe Pizzeria,116625.0
Fred Astaire Dance Studios,104097.5
Free People,92417.0
Fresh&co.,96818.0
Friendly's,97379.0
Fuku,95313.0
G-Star RAW,83500.0
GALLS,66979.0
GNC (General Nutrition Centers),79039.0
GRK Fresh,92917.0
GUESS Factory,82558.0
Gabe's,73438.0
GameStop,71728.0
Gander Outdoors,67838.5
Gap,104500.0
Gertrude Hawk Chocolates,81509.0
Get Air,67019.0
Giunta's Meat Farms,114123.0
Go! Go! Curry! America,67768.0
Gold's Gym,98182.0
Golden China,59500.0
Golden Corral,63629.0
Golden Krust Caribbean Bakery and Grill,59531.0
Golf Galaxy,71544.0
GolfTec,90950.0
Gong Cha,68472.0
Goodwill Industries,74038.0
Gordmans,55534.0
Gordon Food Service Store,46667.0
Great American Cookies,140313.0
Greatwall Supermarket (GW),69554.0
Green Cactus Grill,140833.0
Green's Natural Foods,152344.0
Gregory's Coffee,88967.0
Grimaldi's,95313.0
Gristedes,89250.0
Ground Round,97500.0
Gucci,95313.0
Guitar Center,81719.0
Gulf Oil,81528.0
Gyu-Kaku,86308.0
H Mart,93214.0
H&M (Hennes & Mauritz),76531.0
Haagen Dazs,88603.0
Habitat for Humanity ReStore,70786.0
Haggar,73438.0
Hallmark Cards,89000.0
Handy Pantry,98594.0
Hanesbrands,112440.0
Hannaford Pharmacy,73958.0
Hannaford Supermarkets,74896.0
Hannoush Jewelers,86250.0
Hard Rock Cafe,81735.0
Harmon Face Values,117112.0
Harry Winston,86944.0
Health Mart,85184.0
Healthtrax Fitness & Wellness,126250.0
Hearing Life,86891.0
Hermès,103982.0
Hibbett Sports,48500.0
Hillstone Restaurant Group,107119.0
Hobby Lobby Stores,75682.0
Hollister,95227.0
Hooters,86758.0
Hot Topic,102042.5
Houlihan's Restaurants,119696.0
Hugo Boss,110375.0
Hurricane Grill & Wings,110962.0
IGA,83304.0
IHOP,78750.0
Indochino,113021.0
Intermix,113393.0
Ippudo,95047.5
Irving Oil,61855.0
It'sugar,91750.0
J Mclaughlin,101023.0
J.Crew,86250.0
J.Jill,82760.0
JCPenney,70509.0
Jacadi,127857.0
Jamba,86607.0
James Perse,99464.0
Janie and Jack,115046.0
Jared The Galleria of Jewelry,78750.0
Jersey Mike's,99657.0
Jet's Pizza,62308.0
Jimmy Jazz,40735.0
Jimmy John's,68667.0
Jimmy's Egg,86750.0
Jo-Ann Fabric and Craft Stores,76016.0
Jockey,79412.5
Joe & The Juice,96763.0
Joe Coffee,90725.0
Johnny Rockets,67000.0
Johnson Fitness & Wellness,128500.0
Johnston & Murphy,110962.0
Jolley Stores,70469.0
Jollibee,71688.0
Jos. A. Bank Clothiers,105357.0
Journeys,86806.0
Jreck Subs,57654.5
Juice Generation,89457.0
Juice Press,91042.0
Jumpstreet,107782.0
Junior's,81296.0
Just Salad,91010.0
Just-A-Buck,76477.0
K & G Fashion Superstore,107782.0
KFC,69938.0
Kahala Coffee Traders,76417.0
Kate Spade,83447.0
Kay Jewelers,67386.0
Key Food,74028.0
Kid to Kid,69375.0
Kids Foot Locker,48421.0
King Kullen Grocery Co.,115167.0
Kings Food Markets,141667.0
Kinney Drugs,61667.0
Kirkland's,103676.0
Kmart,72192.0
Kmart Pharmacy,77205.0
Kohl's,88910.0
Krispy Kreme Doughnuts,59034.0
Krispy Krunchy Chicken,54100.0
Kung Fu Tea,71618.0
Kwik Fill,59125.0
L.L.Bean,83810.0
LA Fitness,102757.0
LEGO,100882.0
LIDS,71343.0
LOFT,96789.0
LOFT Outlet,77287.0
LUKOIL,76531.0
LUSH,101339.0
La Bella Marketplace,92083.0
La Colombe,91836.0
La Rosa Chicken & Grill,102292.0
Label Shopper,65357.0
Lacoste,108750.0
Lacrosse Unlimited,124704.5
Laderach,89127.0
Lakeshore Learning Materials,114303.0
Land's End,80368.0
Lane Bryant,60000.0
Lasikplus,73061.0
Launch Trampoline Park,76500.0
Le Pain Quotidien,101023.0
Learning Express Toys,203438.0
LensCrafters,86946.0
Lenwich,87768.0
Leslie's Swimming Pool Supplies,113906.0
Levi Strauss & Co.,94063.0
Lidl,115673.0
Lifetime Fitness,131563.0
Lindt,86984.5
Little Caesars,56768.0
Long John Silver's,73938.0
LongHorn Steakhouse,69962.0
Lord and Taylor,127258.0
Loro Piana,169092.5
Lou & Grey,91797.0
Louis Vuitton International,99769.0
Louisiana Fried Chicken,60386.0
Love's Travel Stops and Country Stores,62981.0
Lucille Roberts,75750.0
Lucky Brand,101518.0
Lucky Strike Entertainment,84632.0
Luke's Lobster,95282.0
M&M's Store,84342.0
MAC Cosmetics,52720.0
MJM Shoes,106159.0
MOOYAH,119205.0
Macaroni Grill,80185.0
Macy's,84211.0
Macy's Backstage,72679.0
Madewell,105780.5
Maggiano's Little Italy,112959.0
Maison Kayser,91025.0
Mamoun's Falafel,97946.0
Manchu Wok,72061.0
Mandee,88490.0
Maplefields,60585.0
Marathon,61944.0
Marie Blachère,145179.0
Mark's Pizzeria,63580.0
Market Fresh,56477.0
Marquee Cinemas,65000.0
Marshalls,86055.0
Mayweather Boxing + Fitness,121370.5
McDonald's,71934.0
Melt Shop,85500.0
Menchie's,71814.0
Merle Norman Cosmetics,91518.0
Met Foodmarkets,65714.0
Michael Kors,74167.0
Michaels Stores,88333.0
Midtown Athletic Clubs,76570.0
Mighty Quinns BBQ,91423.0
Mighty Taco,67434.0
Milk Bar,96763.0
Miller's Ale House,115673.0
Miracle-Ear,75458.0
Mobil,75714.0
Modell's Sporting Goods,80852.0
Modo Yoga,97367.0
Moe's Southwest Grill,85074.0
Moncler,90000.0
Monster Mini Golf,113056.0
Montblanc,101023.0
Morgenthal Frederics,90234.0
Morton Williams Supermarkets,75402.0
Morton's The Steakhouse,112159.0
Movie Tavern by Marcus,73696.0
Mr Chow,89937.0
Muji,93523.0
Mulberry,107073.0
Muscle Maker Grill,90788.0
Music & Arts,109821.0
My Gym Children's Fitness Centers,100350.0
Nathan's Famous,81705.0
Nautica,108505.0
Navy Exchange,104920.0
Neiman Marcus,116250.0
Nespresso,89653.0
Net Cost Market,62895.0
Neuhaus,90417.0
New Balance,114683.0
New York & Company,74323.0
New York Health & Racquet Club,97500.0
New York Pilates,105518.5
New York Sports Club,87404.0
Next Level Burgers,70528.0
Nike,84063.0
Noodles & Company,121250.0
Nordstrom,86289.0
Nordstrom Local,95338.0
Nordstrom Rack,85386.5
North Shore Farms,123333.0
NrGize Lifestyle Cafe,102469.0
Obicá,87047.0
Ocean Prime,98636.0
Ocean State Job Lot,102448.0
OddFellows Ice Cream Co,89722.0
Office Depot,90950.0
OfficeMax,68750.0
Oh Nuts,52783.0
Old Navy,83134.0
Olive Garden,70552.0
Oliver Peoples,85769.0
Ollie's Bargain Outlet,62642.0
Olympia Sports,51029.0
On The Border,109464.0
Once Upon a Child,95302.0
Orangetheory Fitness,106080.0
Orvis,89545.0
OshKosh B'gosh,75885.5
Out of the Closet,68036.0
Outback Steakhouse,87102.0
P.F. Chang's China Bistro,120994.0
PGA TOUR Superstore,125865.0
PacSun,101222.0
Panda Express,69125.0
Pandora,61012.0
Panera Bread,94091.0
Papa John's,62721.0
Paper Source,106803.5
Papyrus,86250.0
Paris Baguette,75750.0
Party City,87946.0
Pastosa Ravioli,93281.0
Pat's Marketplace,120625.0
Patagonia,93565.0
Patel Brothers,104129.0
Peachwave Yogurt,40956.0
Pearle Vision,75972.0
Peck's Market,64018.0
Peet's Coffee and Tea,76016.0
Penseys,66553.0
Perfumania,74038.0
Perkins Restaurant & Bakery,76189.0
Pet Pantry Warehouse,130257.0
Pet Supplies Plus,82059.0
PetSmart,85284.0
Petco,83958.0
Pets Warehouse,107679.0
Phillips 66,170294.0
Philly Pretzel Factory,123750.0
Physique57,80559.0
Pilot Flying J,61227.0
Pinkberry,86607.0
Pinot's Palette,108177.0
Pioneer Supermarkets,44563.0
Pit Stop,59362.0
Pita Pit,77037.0
Pizza Hut,73111.0
Planet Fitness,72955.0
Planet Smoothie,92750.0
Planet Wings,98494.0
Plato's Closet,68860.5
Play It Again Sports,84432.0
Playa Bowls,101023.0
Poke Bar,92744.0
Poke Works,112500.0
Pollo Campero,63672.0
Pontillo's Pizzeria,72727.0
Pop Physique,76921.0
Popbar,75538.0
Popeyes Louisiana Kitchen,63188.0
Potbelly Sandwich Works,96020.0
Powerhouse Gym,80172.0
Prada,90208.0
Pressed Juicery,85313.0
Pret A Manger,87292.0
Price Chopper,66563.0
PriceRite,42647.0
Proper Food,113854.0
Pure Barre,120179.0
Pure Hockey,107782.0
Qdoba Mexican Grill,96340.0
QuickChek,89423.0
REI,81406.0
Ra Sushi,96071.0
Rag & Bone,132656.0
Rainbow Shops,56591.0
Rajbhog Food,80846.0
Ralph Lauren,98542.0
Ralph's Italian ices & Ice Cream,113523.0
Red Lobster,72946.0
Red Mango,94420.0
Red Robin Gourmet Burgers,76583.0
Red Wing Shoes,73393.0
Reebok,86806.0
Regal Entertainment Group,84330.5
Retro Fitness,88721.0
Ripley's Entertainment Inc,78125.0
Rita's Italian Ice,84491.0
Rite Aid,70357.0
Rite Aid Pharmacy,82159.0
Rocket Fizz,95783.0
Rockin' Jump,76492.0
Rosa Mexicano,99837.0
Roti Mediterranean Grill,125156.0
Round One Entertainment,99432.0
Row House,80259.0
Roy Rogers,82500.0
Royal Beauty Supply,88393.0
Ruby Tuesday,76161.0
Rumble,90417.0
Ruth's Chris Steak House,107684.0
SAS San Antonio Shoemakers,89469.0
SHOP 'n SAVE Supermarkets,47344.0
SLT,142234.0
SNIPES,56989.0
SPENGA,77037.0
Sabon,77205.0
Saks Fifth Avenue,94363.0
Saks Off Fifth,103676.0
Sally Beauty Supply,78105.0
Salsa Fresca Mexican Grill,130917.0
Salsarita's Fresh Cantina,48000.0
Salvatore's,68003.5
Sam Ash Music,96563.0
Sam Edelman,89693.0
Sam's Club,71064.0
Sam's Club Fuel Center,73355.0
Samsonite,88298.0
Saravana Bhavan,114613.0
Sarku Japan,62895.0
SavOn,64421.0
Save-A-Lot,52824.0
Savers Thrift Stores,92212.0
Sbarro,67039.0
Schnippers,89196.0
Scrubs & Beyond,82313.0
Sears,55771.0
Sears Home Services,77272.5
Sears Hometown Store,57583.0
Seasons 52,109286.0
Sephora,78728.0
Shake Shack,91667.0
Shell Oil,88438.0
Shoe Carnival,63784.0
Shoe Dept Encore,60625.0
ShopRite,100202.0
ShopRite Pharmacy,101607.0
Shoppers World,88994.5
Showcase Cinemas,61852.0
Sierra,112946.0
Sinclair Oil,80588.0
Singas Famous Pizza,75972.0
Six Flags,68831.0
Skechers,77205.0
Sky Zone,83750.0
SmartStyle Family Hair Salons,54423.0
Smashburger,89091.0
Smith & Wollensky,101500.0
Smith's Food & Drug Stores,72217.0
Smokers Choice,59013.5
Smokey Bones,82778.0
Smoothie King,95372.0
Snap Fitness,71389.0
Snip-its,80481.0
SoBol Acai Bowls & Beyond,115089.0
Soccer Post,106250.0
Solstice Sunglasses,98816.0
Soma Intimates,120521.0
Sonic,84000.0
SoulCycle,105581.5
Speedway,76087.0
Spencer's,108224.0
Sportsman's Warehouse,66528.5
Sprinkles,106917.0
Staples,88542.0
Starbucks,89306.0
Stein Mart,109123.5
Sterling Optical,76959.0
Steve Madden,80595.0
Stew Leonard's,104631.0
Stewart's Shops,68304.0
Stop & Shop,104000.0
Stop & Shop Pharmacy,77734.0
Street Corner,56548.0
StretchLab,128750.0
Stuart Weitzman,104831.5
Subway,70637.0
Sugarfina,91985.0
Sugarfish,119028.0
SuitSupply,110833.0
Sun & Ski Sports,121731.0
Sunglass Hut,80185.0
Sunoco,71509.0
Super Shoes,65000.0
Superdry,91058.0
Superfresh,91149.0
Surf City Squeeze,106080.0
Swatch,87462.5
Sweet Chick,71974.0
Sweet Frog,80139.0
T.J. Maxx,78750.0
TCBY,111597.0
TGI Fridays,89960.0
THE MAX Challenge,98882.0
TITLE Boxing Club,120875.0
Taco Bell,80353.0
Talbots,89583.0
Target,82697.0
Tasti DLite,97756.0
Texas Chicken and Burgers,58667.0
Texas Roadhouse,71631.0
Texas de Brazil,64342.0
The Ainsworth,97361.0
The Art of Shaving,106477.0
The Bar Method,131250.0
The Body Shop,75625.0
The Book Rack,74135.0
The Burger Joint,71542.0
The Capital Grille,89770.0
The Cheesecake Factory,106667.0
The Children's Place,69429.0
The Counter,76477.0
The Exchange,101518.0
The Food Emporium,73750.0
The Fresh Market,112292.0
The Great American Bagel,80536.0
The Green Turtle,120521.0
The Halal Guys,76731.0
The Honey Baked Ham Co.,95324.0
The Hummus & Pita Co,84313.0
The Juice Shop Kitchen & Juicery,96452.0
The Little Beet,109861.0
The Little Gym,97115.0
The Medicine Shoppe,59750.0
The Melting Pot Restaurant,124167.0
The Men's Wearhouse,84444.0
The North Face,95313.0
The Original Pancake House,75368.0
The Palm Restaurant,90989.0
The Paper Store,117024.0
The RealReal,87500.0
The Salvation Army,67434.0
The Vitamin Shoppe,84583.0
Theory,134070.0
Things Remembered,91149.0
Tiffany & Co.,109654.0
Tim Hortons,66553.0
Tim Howan,101023.0
Timberland,90952.5
Tod's,96801.0
Tommy Hilfiger,76250.0
Tops Friendly Markets,61548.5
Tops Pharmacy,61719.0
Torrid,81394.0
Tory Burch,105368.0
Total Wine & More,108224.0
Trade Fair Supermarket,65086.0
Trader Joe's,113924.0
TravelCenters of America,58056.0
Tropical Smoothie Café,120104.0
Tuesday Morning,85665.0
Tumi,93816.0
Tutti Frutti,113590.0
Tuxedo by Sarno,78750.0
UFC Gym,104432.0
UGG,106250.0
ULTA Beauty,102813.0
Umami Burger,121166.5
Uncle Giuseppe's,129069.0
Uncle Louie G,91094.0
Under Armour,96810.0
Uniqlo,83355.0
United Taekwondo Center,58750.0
Unleashed by Petco,87000.0
Uno Chicago Grill,80031.0
Urban Air Trampoline Park,116250.0
Urban Outfitters,95956.0
VIM,51619.0
VP Racing Fuels,59750.0
Valentino,151131.0
Valero Energy,73611.0
Value City Furniture,62778.0
Van Cleef & Arpels,107639.0
Van Heusen,86779.0
Van Leeuwen Artisan Ice Cream,77252.0
Vans,87253.0
Vapiano,85469.0
Vera Bradley,98375.0
Versace,118750.0
Versona,127813.0
Victoria's Secret,92295.0
Vilebrequin,114498.0
Villa Italian Kitchen,75750.0
Vince.,115341.0
Vitamin World,83269.0
Vivi Bubble Tea,71851.0
Wagamama,104174.0
Walgreens,75263.0
Walgreens Pharmacy,58000.0
Walmart,67386.0
Walmart Pharmacy,66157.0
Warby Parker,97756.0
Warhammer,110000.0
Wasabi,74206.5
Wayback Burgers,82558.0
Wegmans Food Markets,66964.0
Weis Markets,57946.0
Wendy's,79250.0
Western Beef,63664.0
Westville,91563.0
Wetzel's Pretzels,92619.0
White Castle,72727.0
White House Black Market,113491.0
Whole Foods Market,118194.0
Wichcraft,89643.0
Wild Birds Unlimited,82941.0
Wild by Nature,135217.0
Windsor,123929.0
Wing Zone,122891.0
Wings Over,71544.0
Wingstop,67419.0
Wolford,83462.0
Woof Gang Bakery & Grooming,186442.0
Work 'N Gear,111836.5
World Gym,101546.0
Wundabar Pilates,96477.0
XSport Fitness,108370.0
Xi'an Famous Foods,70357.0
Xtend Barre,81417.0
Xtramart,76806.0
YWCA,57525.5
Yankee Candle,79861.0
Yogurtini,127955.0
Zales,63393.0
Zara,86768.0
Zumiez,80625.0
Zurich Cinemas,60610.0
[solidcore],104539.0
barre3,78417.0
brick house TAVERN + TAP,74583.0
honeygrow,64702.0
iFly Indoor Skydiving,90859.5
iFresh Market,69773.0
iLoveKickboxing,91667.0
itsu,86244.0
junzi,103875.0
lululemon athletica,106940.0
maurices,65357.0
rue21,63598.0
sweetgreen,86731.0
vineyard vines,112813.0
